Observation,Y-Kappa,ChipRate,BF-CMratio,BlowFlow,ChipLevel4 ,T-upperExt-2 ,T-lowerExt-2  ,UCZAA,WhiteFlow-4 ,AAWhiteSt-4 ,AA-Wood-4  ,ChipMoisture-4 ,SteamFlow-4 ,Lower-HeatT-3,Upper-HeatT-3 ,ChipMass-4 ,WeakLiquorF ,BlackFlow-2 ,WeakWashF ,SteamHeatF-3 ,T-Top-Chips-4 ,SulphidityL-4 
1-22:00,20.7,16.208,75.314,1220.714,250.234,343.197,321.132,1.475,599.914,6.089,18.352,45.041,61.019,319.353,296.842,161.274,618.774,995.344,490.574,47.427,251.879,29.99
1-23:00,19.2,15.736,80.975,1274.247,197.078,343.644,321.692,1.577,628.652,,18.352,45.049,64.06,319.501,296.922,164.721,682.528,996.502,233.945,50.544,251.64,
2-00:00,17.8,15.708,81.625,1282.194,186.236,346.299,323.116,1.561,664.611,6.066,18.251,45.348,66.848,319.853,297.387,170.228,722.687,997.741,0.0,53.741,251.243,30.3
2-01:00,17.0,15.067,87.395,1284.704,265.526,346.757,325.008,1.496,681.701,6.013,18.257,46.979,72.717,320.411,299.02,179.245,811.747,994.015,371.605,51.784,250.872,29.85
2-05:00,20.8,15.017,80.738,1283.069,311.598,350.551,323.014,1.426,621.836,6.074,18.045,45.644,64.355,319.491,297.193,166.361,732.351,995.923,493.573,47.199,251.604,29.88
2-06:00,23.01,15.892,84.424,1275.502,307.254,350.684,322.353,1.424,619.547,,18.048,46.021,66.115,319.408,296.743,169.007,756.561,996.957,505.981,46.379,251.543,
2-07:00,22.38,15.108,76.453,1283.128,279.875,351.06,323.533,1.492,614.969,6.087,17.961,45.818,65.917,319.607,296.332,170.19,745.982,995.302,510.837,47.551,251.752,29.88
2-08:00,22.53,16.783,76.396,1281.536,269.496,351.64,324.093,1.556,622.751,,17.955,45.95,67.107,319.652,296.317,171.703,776.347,991.185,510.583,49.702,251.548,
2-09:00,20.74,15.708,79.89,1254.937,245.464,353.38,325.313,1.5,652.405,6.093,17.953,46.201,69.625,320.894,296.939,179.385,826.904,994.848,503.35,52.17,251.253,29.72
2-14:00,24.7,16.183,72.611,1231.362,332.497,350.938,322.801,1.455,564.87,6.115,17.759,44.043,60.175,319.644,296.799,159.557,670.349,1013.14,461.896,39.376,251.426,29.35
2-15:00,25.4,16.958,74.405,1230.776,295.522,350.216,322.74,1.471,540.151,,17.754,42.822,52.962,318.913,295.843,146.914,727.366,1052.879,476.15,43.701,252.097,
2-16:00,23.5,16.542,80.093,1246.777,198.217,350.521,323.513,1.474,596.506,6.19,17.75,43.986,65.556,319.151,296.025,153.147,843.689,1092.75,419.893,48.904,251.345,30.39
2-17:00,23.0,15.567,79.765,1233.698,173.686,351.691,323.482,1.466,645.436,,17.759,45.657,69.762,319.533,296.292,176.193,799.794,1118.886,338.161,53.603,250.638,
2-18:00,21.8,15.467,79.303,1228.541,204.661,352.321,323.737,1.428,670.156,6.195,17.754,46.303,70.678,320.266,297.618,182.769,833.72,1122.17,414.797,53.493,250.424,29.91
2-19:00,22.3,15.492,75.395,1232.071,266.968,354.244,325.212,1.416,662.78,,17.711,45.883,70.978,322.028,299.212,189.268,776.143,1103.063,412.781,50.496,250.251,
2-20:00,23.3,16.742,73.689,1233.677,303.943,352.993,323.533,1.464,624.176,6.2,17.755,45.102,68.114,321.016,297.472,177.16,766.784,1128.702,448.512,47.535,250.719,29.84
2-21:00,21.4,16.482,74.496,1227.821,284.93,354.0,323.818,1.46,620.971,,17.754,46.746,66.619,321.598,296.957,173.191,792.281,1125.35,411.826,50.004,250.582,
2-22:00,21.5,16.817,78.969,1237.844,285.892,353.644,324.5,1.437,621.887,6.215,17.757,47.46,68.75,321.235,296.616,176.46,852.132,1141.946,344.089,52.043,250.678,29.7
2-23:00,18.13,16.825,84.836,1246.387,259.527,355.515,325.985,,662.577,6.16,17.759,48.312,72.407,321.904,296.185,186.165,810.272,1132.813,0.0,54.044,250.266,29.63
3-00:00,18.3,16.833,91.341,1236.911,287.397,356.787,327.856,1.54,661.532,,17.759,47.809,71.891,323.285,297.755,187.777,841.552,1144.876,0.0,53.897,250.212,
3-01:00,18.9,15.067,83.178,1245.584,106.11,362.677,330.216,1.48,676.106,6.211,17.798,46.345,71.263,324.407,297.655,186.241,707.326,1142.856,0.0,54.0,250.083,31.03
3-06:00,24.4,15.192,83.373,1242.951,369.311,354.919,326.66,1.364,552.917,,17.803,45.833,61.477,320.649,296.662,156.339,748.169,979.839,0.0,40.485,250.577,
3-07:00,26.5,16.3,75.411,1229.199,358.256,352.871,325.69,1.416,531.174,6.25,17.81,45.762,59.183,319.99,296.154,149.077,701.273,1026.333,259.773,42.596,250.775,31.91
3-08:00,23.2,16.7,73.381,1225.454,288.327,353.4,325.761,1.532,546.814,,17.806,45.719,60.071,319.983,295.603,150.092,784.624,1019.652,453.101,49.5,250.873,
3-09:00,24.2,16.458,75.625,1244.665,270.511,355.729,328.243,1.484,611.104,6.24,17.898,46.846,70.49,321.568,297.158,171.818,845.316,1037.773,405.866,47.239,250.185,32.02
3-10:00,19.08,15.8,80.737,1243.342,186.308,356.35,329.311,,645.741,6.21,17.91,47.57,71.339,321.393,296.042,177.948,847.3,1148.683,1.328,55.715,250.134,31.61
3-11:00,19.69,15.4,83.888,1242.249,220.164,358.465,331.407,1.381,676.569,,17.964,48.228,74.504,323.139,297.383,182.2,850.555,1097.623,0.0,55.181,249.984,
3-20:00,23.71,15.433,82.792,1277.76,342.858,364.508,328.355,1.474,576.212,6.165,17.995,47.054,66.395,321.396,296.667,158.387,969.726,893.16,389.143,47.404,249.539,31.64
3-21:00,23.5,15.2,83.738,1281.195,322.741,363.857,328.782,,601.135,6.227,18.183,46.782,67.824,321.185,296.981,162.953,966.776,996.708,142.531,48.223,248.817,31.45
3-22:00,21.5,15.3,85.534,1285.862,286.833,363.723,328.253,1.431,610.443,,18.201,46.911,68.18,320.737,296.52,163.69,949.89,995.799,11.116,52.505,248.822,
3-23:00,21.6,15.033,86.998,1284.668,280.871,364.976,329.189,1.4,633.229,6.194,18.2,46.764,71.008,321.979,298.587,167.277,859.354,995.551,194.496,50.608,248.751,31.49
4-01:00,20.9,15.408,75.76,1277.817,327.156,363.928,329.128,1.356,629.771,6.236,18.2,47.489,71.649,321.499,297.111,170.597,867.289,1015.97,577.984,51.798,248.624,31.03
4-02:00,23.5,16.867,76.937,1284.849,334.17,364.132,329.25,1.551,620.208,,18.201,47.858,72.448,322.259,297.509,171.093,888.854,1019.068,603.462,50.394,248.435,
4-03:00,24.2,16.7,78.434,1287.619,344.674,362.799,328.935,1.553,606.119,6.23,18.199,48.066,71.263,321.226,297.391,167.074,940.124,1102.843,598.171,50.595,248.578,31.38
4-04:00,17.7,16.417,80.415,1287.981,283.826,363.959,329.097,1.538,627.583,,18.199,48.108,71.7,321.005,295.558,166.654,965.555,1118.225,556.742,55.284,248.359,
4-05:00,18.0,16.125,79.956,1289.283,66.082,367.427,332.322,1.431,686.279,6.22,18.287,48.628,75.067,322.399,295.44,177.999,930.359,1129.319,550.796,56.761,248.496,31.16
4-06:00,17.8,15.955,80.625,1286.329,156.721,368.872,333.146,1.484,679.413,,18.299,48.618,74.62,323.192,296.147,176.854,944.535,1124.246,421.427,55.49,248.812,
4-13:00,23.7,16.518,78.458,1277.55,342.11,363.287,325.232,1.433,571.686,,18.398,48.404,66.242,320.164,296.907,151.849,789.113,962.725,418.099,41.936,253.7,
4-14:00,24.0,16.283,76.717,1262.337,329.827,362.413,325.008,1.501,563.344,6.13,18.401,48.489,66.721,319.453,296.084,151.735,858.975,999.078,453.716,43.613,254.122,30.21
4-16:00,17.8,16.625,78.367,1276.082,202.744,360.127,329.266,1.488,698.486,6.126,18.596,49.881,75.296,321.658,297.088,180.438,1017.333,1052.785,433.089,54.675,251.747,30.32
4-17:00,18.2,16.283,83.508,1288.104,234.284,359.412,328.67,1.534,692.687,,18.602,50.024,74.528,321.224,298.231,173.827,854.573,1174.267,62.077,50.653,252.474,
4-18:00,15.5,15.425,92.142,1289.992,124.655,357.601,326.656,1.627,685.114,6.14,18.599,50.658,75.974,319.57,296.014,163.066,764.699,1140.294,0.0,52.051,252.792,30.3
5-01:00,24.29,15.175,85.006,1294.216,320.89,358.343,327.266,1.309,592.336,,18.594,48.754,67.921,320.908,296.201,155.093,895.67,1043.082,150.746,47.414,252.743,
5-02:00,25.3,15.225,82.03,1280.837,312.879,358.944,327.582,1.335,615.58,6.147,18.712,48.818,72.743,321.206,296.893,164.746,965.018,1043.596,213.414,49.987,251.192,30.595
5-03:00,21.88,15.614,81.35,1279.221,338.514,359.371,327.327,1.374,635.721,,18.796,48.586,72.163,321.381,298.083,168.269,1015.502,1038.527,206.235,49.214,251.106,
5-04:00,20.54,15.725,81.352,1288.755,317.081,360.798,327.891,1.378,652.608,6.171,18.83,48.736,72.265,321.066,297.332,169.223,1057.718,1059.223,202.14,51.86,250.917,30.831
5-05:00,20.1,15.842,81.953,1288.159,304.334,361.477,328.467,1.422,660.491,,18.902,49.092,72.895,321.837,297.522,171.754,1080.366,1068.905,201.619,52.815,250.75,
5-06:00,17.86,15.718,83.52,1295.945,280.017,362.931,329.464,1.439,670.061,6.184,18.902,49.477,74.47,322.398,296.594,180.196,1066.467,1103.372,208.015,53.858,251.032,30.788
5-07:00,19.9,15.517,84.422,1285.326,315.3,364.111,330.187,1.469,669.85,,18.97,49.556,73.643,323.151,296.358,168.791,1057.209,1111.638,171.26,53.419,250.989,
5-08:00,16.8,15.225,87.252,1297.566,280.48,364.549,328.599,,675.344,6.171,19.004,49.707,74.147,323.463,295.951,171.741,1107.84,1093.737,204.197,53.685,251.131,30.793
5-09:00,17.0,15.3,86.739,1293.193,306.545,363.568,329.25,1.458,674.738,,19.004,49.011,73.966,323.607,297.145,168.796,1059.614,1098.137,211.616,52.157,251.066,
5-11:00,22.2,15.283,116.74,1305.544,381.197,362.447,327.168,1.353,658.508,,19.004,48.408,72.972,322.472,298.07,166.399,1226.277,1075.02,185.555,49.46,251.807,
5-12:00,21.44,15.483,84.586,1287.822,344.495,356.706,326.625,1.482,668.731,,19.26,48.795,73.287,322.282,295.368,168.994,1075.825,1130.605,201.929,52.166,249.865,
5-13:00,21.6,15.225,83.837,1292.488,338.941,356.177,325.201,1.498,652.608,6.175,19.296,48.634,72.87,322.118,297.661,162.38,1073.994,1153.335,201.956,49.873,250.531,30.711
5-14:00,18.64,15.417,81.563,1281.904,220.932,357.377,324.194,1.486,667.104,,19.341,48.582,72.153,321.477,295.596,171.105,1076.232,1153.547,195.651,53.022,250.663,
5-15:00,19.05,15.717,81.682,1290.579,239.625,359.412,325.385,1.503,681.447,6.17,19.457,48.3,73.002,322.368,295.601,171.258,985.053,1153.479,272.387,53.28,250.165,31.04
5-16:00,18.73,15.8,83.012,1285.176,277.293,359.249,326.015,1.552,678.497,,19.496,47.638,72.544,322.473,296.458,169.719,1007.79,1151.76,269.193,52.605,250.394,
5-17:00,18.81,15.482,83.409,1297.002,257.426,358.903,327.3,1.509,683.329,6.153,19.495,47.418,71.39,322.235,296.368,171.462,1015.299,1161.728,279.202,53.977,250.333,30.566
5-18:00,15.8,15.55,81.279,1285.565,244.627,359.04,329.133,1.558,694.519,,19.493,48.288,72.229,321.852,295.259,171.665,1014.791,1138.532,380.264,55.327,250.261,
5-19:00,17.9,15.817,82.199,1282.997,290.461,360.266,331.407,1.621,699.436,6.161,19.493,48.964,74.935,322.732,295.572,177.613,1004.109,1132.855,297.94,54.425,250.344,30.528
5-20:00,16.2,15.608,78.996,1283.677,311.322,359.096,330.664,1.571,684.337,,19.494,49.271,73.821,322.039,295.551,170.642,1037.597,1133.151,289.547,53.622,250.711,
5-21:00,16.7,16.25,79.768,1286.259,274.516,359.686,330.501,1.633,691.925,6.132,19.491,48.49,73.867,321.979,294.876,171.309,971.862,1126.428,289.993,54.573,250.699,30.546
5-22:00,14.8,16.125,81.645,1289.992,323.026,360.474,331.421,1.58,700.114,,19.489,48.437,74.096,322.21,294.366,172.555,950.195,1143.91,289.387,54.853,250.444,
5-23:00,16.8,15.8,91.179,1288.661,351.83,359.432,331.081,1.619,690.551,6.21,19.346,48.833,73.317,322.195,294.992,172.746,949.28,1144.151,102.033,54.87,250.582,30.38
6-05:00,23.2,16.1,81.242,1283.626,340.045,357.163,324.449,1.501,536.489,6.22,19.193,47.137,60.968,321.448,295.154,146.406,1012.146,1040.654,0.0,40.838,252.286,31.66
6-06:00,26.02,15.8,79.293,1291.149,271.419,355.922,323.014,1.623,537.862,,19.195,47.373,60.49,320.845,293.856,141.382,1099.121,1128.464,220.444,45.761,251.543,
6-07:00,19.78,16.283,80.291,1290.006,197.719,358.333,325.1,1.492,628.143,6.12,19.291,47.721,67.361,321.174,293.312,160.638,1122.11,1120.951,309.598,54.99,250.74,30.79
6-08:00,19.22,16.067,81.045,1288.618,199.072,360.846,328.08,1.583,703.979,,19.302,48.007,72.321,321.93,293.552,175.811,1103.495,1138.627,261.159,56.213,250.007,
6-09:00,19.02,15.9,82.638,1292.604,218.707,362.036,330.491,1.546,695.383,6.14,19.206,47.821,74.131,322.848,294.929,174.603,1132.181,1145.09,278.136,54.438,250.063,32.84
6-10:00,16.12,15.642,81.822,1294.158,104.615,360.561,328.752,1.631,708.251,,19.133,47.387,72.254,321.73,294.261,174.4,1099.527,1145.089,280.91,55.486,250.211,
6-11:00,17.35,15.817,80.424,1284.11,63.911,361.202,330.145,1.591,704.233,6.155,19.148,46.964,72.722,322.656,295.148,175.455,1078.775,1134.439,281.897,53.362,250.022,30.305
6-12:00,15.03,15.967,81.685,1289.941,128.006,360.246,329.993,1.556,695.485,,19.307,46.871,70.871,322.392,295.757,171.207,1050.292,1126.439,282.788,52.344,250.083,
6-13:00,18.69,15.792,82.336,1285.124,105.54,359.788,329.403,1.532,686.94,6.19,19.3,47.054,69.772,321.931,295.444,166.616,1036.661,1126.588,284.877,52.481,250.048,30.16
6-14:00,17.3,15.608,84.865,1300.553,71.984,360.103,330.155,1.546,686.381,,19.202,47.148,70.205,322.037,294.924,171.309,1043.172,1117.408,237.808,53.592,250.032,
6-15:00,17.79,15.342,84.464,1295.815,101.126,359.076,330.339,1.586,688.822,6.14,19.196,47.663,71.868,321.778,294.727,175.277,985.697,1106.146,201.505,53.343,250.271,30.21
6-22:00,25.1,15.075,80.024,1281.051,343.214,354.905,325.323,1.377,618.276,6.18,19.105,46.976,59.783,320.077,295.551,157.611,901.062,1069.602,309.348,46.209,250.821,30.37
6-23:00,25.52,16.008,77.07,1285.782,338.656,355.149,325.669,1.462,619.954,,19.139,47.907,63.048,320.28,295.959,158.476,878.072,1069.102,264.774,46.03,250.724,
7-00:00,24.16,16.683,76.753,1280.487,267.235,355.892,327.226,1.678,621.684,6.145,19.179,48.008,64.686,320.424,295.821,159.735,900.706,1085.73,424.195,48.975,250.729,30.415
7-01:00,20.4,16.683,76.838,1254.38,199.766,356.899,328.609,1.621,659.068,,19.269,47.915,67.931,320.682,295.226,170.355,941.09,1093.449,473.274,55.217,250.79,
7-02:00,18.33,16.325,75.644,1234.263,158.626,358.079,330.166,1.65,700.063,6.13,19.289,48.317,73.429,320.512,293.925,177.287,863.677,1093.523,445.041,58.004,250.226,30.36
7-03:00,16.99,16.317,84.74,1230.147,170.464,359.503,332.017,1.584,723.561,,19.289,49.093,74.843,321.274,293.542,181.026,870.849,1118.268,289.171,58.299,249.885,
8-23:00,21.8,15.458,87.218,1302.456,211.729,366.726,328.345,1.604,561.666,,17.108,45.822,66.807,329.175,304.325,157.814,774.922,1293.809,491.544,55.824,252.118,
9-01:00,20.2,15.6,77.384,1265.665,299.581,367.875,333.258,1.581,537.506,,17.107,45.483,61.695,329.401,303.898,156.072,716.159,1292.917,491.182,52.914,252.601,
9-02:00,18.5,16.356,84.712,1293.269,167.847,368.17,332.627,1.689,606.323,6.14,17.108,46.906,68.023,329.719,304.627,176.218,783.01,1293.493,490.535,56.717,251.63,30.52
9-03:00,20.4,15.267,78.326,1294.983,295.683,370.757,337.012,1.66,588.572,,17.107,46.73,69.06,331.434,305.377,170.8,679.911,1315.346,487.086,53.133,251.548,
9-04:00,16.3,15.367,84.01,1290.954,174.06,368.74,329.677,1.648,606.679,6.13,17.065,46.573,71.888,329.404,303.486,165.179,858.439,1319.788,480.61,57.561,251.492,30.34
9-05:00,15.5,15.427,84.636,1305.709,194.568,370.154,328.823,1.675,634.874,,17.059,47.494,74.196,330.611,305.065,182.277,804.598,1321.781,470.223,56.364,250.819,
9-14:00,23.13,15.058,84.362,1283.011,180.344,381.242,322.597,1.56,568.939,,16.912,46.016,68.19,330.59,304.797,172.352,848.622,1320.038,156.491,51.777,252.113,
9-15:00,21.2,15.417,85.108,1312.077,252.816,390.59,324.306,1.548,587.046,,16.911,46.726,59.241,330.872,305.108,153.732,809.051,1319.539,385.895,49.866,251.273,
11-09:00,23.17,15.542,82.392,1280.501,334.242,348.771,316.87,1.596,558.715,6.22,17.261,46.713,68.318,331.51,309.023,156.631,859.558,1367.96,300.409,49.837,252.626,30.48
11-10:00,23.49,15.642,82.027,1283.041,291.001,349.961,319.82,1.627,568.735,,17.255,46.502,68.363,332.019,309.014,160.371,920.593,1367.74,418.209,50.779,252.336,
11-11:00,22.7,15.517,83.008,1288.01,306.886,350.155,322.485,1.59,568.752,6.17,17.255,46.387,67.678,331.854,309.346,160.061,910.013,1381.389,441.934,51.466,252.216,29.59
11-12:00,20.31,15.125,91.165,1261.114,274.374,352.148,323.909,,607.442,6.267,17.258,47.21,73.745,333.016,309.978,172.263,1012.247,1382.538,361.762,53.678,251.594,30.31
12-09:00,20.9,15.167,84.64,1283.706,339.44,354.803,311.041,1.635,532.419,6.34,17.255,47.141,65.561,332.924,307.626,145.299,832.906,1344.708,388.911,49.524,251.833,30.29
31-01:00,27.6,16.81,79.022,1328.36,341.327,351.05,329.067,1.549,537.201,6.076,16.543,43.954,60.012,330.823,304.879,163.202,665.975,1297.317,241.182,46.603,251.406,29.11
31-02:00,23.19,16.709,79.562,1329.407,239.161,350.022,329.26,1.6,549.611,,16.559,44.495,61.304,329.14,303.383,164.013,677.534,1327.072,237.272,51.795,251.335,
31-03:00,23.6,16.478,81.011,1334.877,213.527,350.938,331.142,1.604,623.362,6.054,16.562,45.592,68.496,328.875,302.254,181.487,767.853,1324.461,239.478,54.846,250.312,29.02
31-04:00,22.9,15.618,93.244,1334.168,243.131,351.64,332.709,,638.672,6.11,16.677,45.512,70.022,328.352,300.954,183.929,888.448,1343.424,215.372,54.186,249.916,29.01
31-11:00,26.62,15.467,84.447,1334.255,386.971,349.392,321.021,1.428,531.25,,16.668,44.58,59.407,330.284,303.248,156.797,799.947,1299.782,118.901,46.597,251.721,
4-16:00,17.8,16.625,78.367,1276.082,202.744,360.127,329.266,1.488,698.486,6.126,18.596,49.881,75.296,321.658,297.088,180.438,1017.333,1052.785,433.089,54.675,251.747,30.32
4-17:00,18.2,16.283,83.508,1288.104,234.284,359.412,328.67,1.534,692.687,,18.602,50.024,74.528,321.224,298.231,173.827,854.573,1174.267,62.077,50.653,252.474,
